tiempo,i_forestacion,m_forestacion,c_forestacion
2048,0.6,3.29726958,60.4478088
2049,0.6,3.59266974,61.2408432
2050,0.6,3.8880699,62.0338782
1990,0.7,0,0
1991,0.7,0,0
1992,0.7,0,0
1993,0.7,0,0
1994,0.7,0,0
1995,0.7,0,0
1996,0.7,0,0
1997,0.7,0,0
1998,0.7,0,0
1999,0.7,0,0
2000,0.7,0,0
2001,0.7,0,0
2002,0.7,0,0
2003,0.7,0,0
2004,0.7,0,0
2005,0.7,0,0
2006,0.7,0,0
2007,0.7,0,0
2008,0.7,0,0
2009,0.7,0,0
2010,0.7,0,0
2011,0.7,0,0
2012,0.7,0,0
2013,0.7,0,0
2014,0.7,0,0
2015,0.7,0,0
2016,0.7,0,0
2017,0.7,0,0
2018,0.7,0,0
2019,0.7,0,0
2020,0.7,0,0
2021,0.7,0,0
2022,0.7,0,0
2023,0.7,0,0
2024,0.7,0.0242361,8.5861615
2025,0.7,0.2625546,88.0686212
2026,0.7,0.5008731,120.2521894
2027,0.7,0.7391916,153.3645302
2028,0.7,0.9775101,187.4056415
2029,0.7,1.2158286,219.7781131
2030,0.7,1.4541478,229.6239302
2031,0.7,1.5086778,136.447143
2032,0.7,1.5632085,118.0334295
2033,0.7,1.6177392,98.9034606
2034,0.7,1.6722692,79.0572349
2035,0.7,1.7267999,58.4947531
2036,0.7,1.7813299,59.4199606
2037,0.7,1.8358606,60.3451674
2038,0.7,1.8903913,61.2703742
2039,0.7,1.944922,62.195581
2040,0.7,1.9994527,63.1207885
2041,0.7,2.0539834,64.0459946
2042,0.7,2.1085141,64.9712014
2043,0.7,2.1630441,65.8964089
2044,0.7,2.2438906,66.8216157
2045,0.7,2.5571938,67.7468225
2046,0.7,2.8704977,68.67203
2047,0.7,3.1838002,69.5972368
2048,0.7,3.4971041,70.5224436
2049,0.7,3.8104073,71.4476504
2050,0.7,4.1237105,72.3728579
1990,0.8,0,0
1991,0.8,0,0
1992,0.8,0,0
1993,0.8,0,0
1994,0.8,0,0
1995,0.8,0,0
1996,0.8,0,0
1997,0.8,0,0
1998,0.8,0,0
1999,0.8,0,0
2000,0.8,0,0
2001,0.8,0,0
2002,0.8,0,0
2003,0.8,0,0
2004,0.8,0,0
2005,0.8,0,0
2006,0.8,0,0
2007,0.8,0,0
2008,0.8,0,0
2009,0.8,0,0
2010,0.8,0,0
2011,0.8,0,0
2012,0.8,0,0
2013,0.8,0,0
2014,0.8,0,0
2015,0.8,0,0
2016,0.8,0,0
2017,0.8,0,0
2018,0.8,0,0
2019,0.8,0,0
2020,0.8,0,0
2021,0.8,0,0
2022,0.8,0,0
2023,0.8,0,0
2024,0.8,0.0276984,9.812756
2025,0.8,0.3000624,100.6498528
2026,0.8,0.5724264,137.4310736
2027,0.8,0.8447904,175.2737488
2028,0.8,1.1171544,214.177876
2029,0.8,1.3895184,251.1749864
2030,0.8,1.6618832,262.4273488
2031,0.8,1.7242032,155.939592
2032,0.8,1.786524,134.895348
2033,0.8,1.8488448,113.0325264
2034,0.8,1.9111648,90.3511256
2035,0.8,1.9734856,66.8511464
2036,0.8,2.0358056,67.9085264
2037,0.8,2.0981264,68.9659056
2038,0.8,2.1604472,70.0232848
2039,0.8,2.222768,71.080664
2040,0.8,2.2850888,72.138044
2041,0.8,2.3474096,73.1954224
2042,0.8,2.4097304,74.2528016
2043,0.8,2.4720504,75.3101816
2044,0.8,2.5644464,76.3675608
2045,0.8,2.9225072,77.42494
2046,0.8,3.2805688,78.48232
2047,0.8,3.6386288,79.5396992
2048,0.8,3.9966904,80.5970784
2049,0.8,4.3547512,81.6544576
2050,0.8,4.712812,82.7118376
1990,0.9,0,0
1991,0.9,0,0
1992,0.9,0,0
1993,0.9,0,0
1994,0.9,0,0
1995,0.9,0,0
1996,0.9,0,0
1997,0.9,0,0
1998,0.9,0,0
1999,0.9,0,0
2000,0.9,0,0
2001,0.9,0,0
2002,0.9,0,0
2003,0.9,0,0
2004,0.9,0,0
2005,0.9,0,0
2006,0.9,0,0
2007,0.9,0,0
2008,0.9,0,0
2009,0.9,0,0
2010,0.9,0,0
2011,0.9,0,0
2012,0.9,0,0
2013,0.9,0,0
2014,0.9,0,0
2015,0.9,0,0
2016,0.9,0,0
2017,0.9,0,0
2018,0.9,0,0
2019,0.9,0,0
2020,0.9,0,0
2021,0.9,0,0
2022,0.9,0,0
2023,0.9,0,0
2024,0.9,0.0311607,11.0393505
2025,0.9,0.3375702,113.2310844
2026,0.9,0.6439797,154.6099578
2027,0.9,0.9503892,197.1829674
2028,0.9,1.2567987,240.9501105
2029,0.9,1.5632082,282.5718597
2030,0.9,1.8696186,295.2307674
2031,0.9,1.9397286,175.432041
2032,0.9,2.0098395,151.7572665
2033,0.9,2.0799504,127.1615922
2034,0.9,2.1500604,101.6450163
2035,0.9,2.2201713,75.2075397
2036,0.9,2.2902813,76.3970922
2037,0.9,2.3603922,77.5866438
2038,0.9,2.4305031,78.7761954
2039,0.9,2.500614,79.965747
2040,0.9,2.5707249,81.1552995
2041,0.9,2.6408358,82.3448502
2042,0.9,2.7109467,83.5344018
2043,0.9,2.7810567,84.7239543
2044,0.9,2.8850022,85.9135059
2045,0.9,3.2878206,87.1030575
2046,0.9,3.6906399,88.29261
2047,0.9,4.0934574,89.4821616
2048,0.9,4.4962767,90.6717132
2049,0.9,4.8990951,91.8612648
2050,0.9,5.3019135,93.0508173
1990,1,0,0
1991,1,0,0
1992,1,0,0
1993,1,0,0
1994,1,0,0
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,0,0
2005,1,0,0
2006,1,0,0
2007,1,0,0
2008,1,0,0
2009,1,0,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,0,0
2014,1,0,0
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,1,0,0
2020,1,0,0
2021,1,0,0
2022,1,0,0
2023,1,0,0
2024,1,0.034623,12.265945
2025,1,0.375078,125.812316
2026,1,0.715533,171.788842
2027,1,1.055988,219.092186
2028,1,1.396443,267.722345
2029,1,1.736898,313.968733
2030,1,2.077354,328.034186
2031,1,2.155254,194.92449
2032,1,2.233155,168.619185
2033,1,2.311056,141.290658
2034,1,2.388956,112.938907
2035,1,2.466857,83.563933
2036,1,2.544757,84.885658
2037,1,2.622658,86.207382
2038,1,2.700559,87.529106
2039,1,2.77846,88.85083
2040,1,2.856361,90.172555
2041,1,2.934262,91.494278
2042,1,3.012163,92.816002
2043,1,3.090063,94.137727
2044,1,3.205558,95.459451
2045,1,3.653134,96.781175
2046,1,4.100711,98.1029
2047,1,4.548286,99.424624
2048,1,4.995863,100.746348
2049,1,5.443439,102.068072
2050,1,5.891015,103.389797
