tiempo,Em_Mt,id_futuro
2040,-60.18338468,id_futuro_5
2041,-47.91659888,id_futuro_5
2042,-45.04788017,id_futuro_5
2043,-59.96621457,id_futuro_5
2044,-49.30318316,id_futuro_5
2045,-56.08034614,id_futuro_5
2046,-55.70221395,id_futuro_5
2047,-51.99279974,id_futuro_5
2048,-61.44134879,id_futuro_5
2049,-61.19512337,id_futuro_5
2050,-54.55787724,id_futuro_5
1990,-63.33224044,id_futuro_6
1991,-59.66992548,id_futuro_6
1992,-60.49756132,id_futuro_6
1993,-60.40270355,id_futuro_6
1994,-60.25809117,id_futuro_6
1995,-61.97127834,id_futuro_6
1996,-58.85718517,id_futuro_6
1997,-61.55841522,id_futuro_6
1998,-45.21235093,id_futuro_6
1999,-57.66985938,id_futuro_6
2000,-65.94570942,id_futuro_6
2001,-66.57002968,id_futuro_6
2002,-56.9177178,id_futuro_6
2003,-69.35342554,id_futuro_6
2004,-64.22017798,id_futuro_6
2005,-63.16781914,id_futuro_6
2006,-65.86464056,id_futuro_6
2007,-54.83547569,id_futuro_6
2008,-54.56990956,id_futuro_6
2009,-57.67206523,id_futuro_6
2010,-64.49615671,id_futuro_6
2011,-59.04463864,id_futuro_6
2012,-58.1032636,id_futuro_6
2013,-64.77339325,id_futuro_6
2014,-56.90301891,id_futuro_6
2015,-46.55264505,id_futuro_6
2016,-60.61134026,id_futuro_6
2017,13.47715115,id_futuro_6
2018,-50.41284301,id_futuro_6
2019,-48.00690099,id_futuro_6
2020,-49.53094698,id_futuro_6
2021,-45.8872459,id_futuro_6
2022,-46.45985332,id_futuro_6
2023,-53.83971505,id_futuro_6
2024,-49.40044441,id_futuro_6
2025,-40.01092127,id_futuro_6
2026,-53.18893723,id_futuro_6
2027,-43.47660887,id_futuro_6
2028,-52.27076897,id_futuro_6
2029,-48.74624347,id_futuro_6
2030,-51.6954658,id_futuro_6
2031,-37.50134741,id_futuro_6
2032,-51.54434115,id_futuro_6
2033,-52.00148303,id_futuro_6
2034,-51.15305553,id_futuro_6
2035,-50.62823783,id_futuro_6
2036,-52.28456493,id_futuro_6
2037,-52.14487903,id_futuro_6
2038,-50.41048646,id_futuro_6
2039,-51.76027655,id_futuro_6
2040,-52.4570824,id_futuro_6
2041,-52.54899545,id_futuro_6
2042,-52.15152604,id_futuro_6
2043,-41.40496438,id_futuro_6
2044,-43.06402212,id_futuro_6
2045,-49.54713841,id_futuro_6
2046,-52.04696359,id_futuro_6
2047,-51.8279836,id_futuro_6
2048,-42.10526548,id_futuro_6
2049,-51.97268196,id_futuro_6
2050,-52.03181882,id_futuro_6
1990,-63.33224044,id_futuro_7
1991,-59.66992548,id_futuro_7
1992,-60.49756132,id_futuro_7
1993,-60.40270355,id_futuro_7
1994,-60.25809117,id_futuro_7
1995,-61.97127834,id_futuro_7
1996,-58.85718517,id_futuro_7
1997,-61.55841522,id_futuro_7
1998,-45.21235093,id_futuro_7
1999,-57.66985938,id_futuro_7
2000,-65.94570942,id_futuro_7
2001,-66.57002968,id_futuro_7
2002,-56.9177178,id_futuro_7
2003,-69.35342554,id_futuro_7
2004,-64.22017798,id_futuro_7
2005,-63.16781914,id_futuro_7
2006,-65.86464056,id_futuro_7
2007,-54.83547569,id_futuro_7
2008,-54.56990956,id_futuro_7
2009,-57.67206523,id_futuro_7
2010,-64.49615671,id_futuro_7
2011,-59.04463864,id_futuro_7
2012,-58.1032636,id_futuro_7
2013,-64.77339325,id_futuro_7
2014,-56.90301891,id_futuro_7
2015,-46.55264505,id_futuro_7
2016,-60.61134026,id_futuro_7
2017,13.47715115,id_futuro_7
2018,-50.41284301,id_futuro_7
2019,-48.00690099,id_futuro_7
2020,-49.53094698,id_futuro_7
2021,-53.63629267,id_futuro_7
2022,-54.2231107,id_futuro_7
2023,-54.45777051,id_futuro_7
2024,-55.22006706,id_futuro_7
2025,-52.93900167,id_futuro_7
2026,-40.81643256,id_futuro_7
2027,-47.94488371,id_futuro_7
2028,-50.12538569,id_futuro_7
2029,-46.04142303,id_futuro_7
2030,-45.43923409,id_futuro_7
2031,-55.00266978,id_futuro_7
2032,-44.94173795,id_futuro_7
2033,-51.00824142,id_futuro_7
2034,-53.84685192,id_futuro_7
2035,-55.13827785,id_futuro_7
2036,-52.52292936,id_futuro_7
2037,-56.12739074,id_futuro_7
2038,-57.0702377,id_futuro_7
2039,-43.45586783,id_futuro_7
2040,-56.99689895,id_futuro_7
2041,-57.28484529,id_futuro_7
2042,-25.8958729,id_futuro_7
2043,-56.66977036,id_futuro_7
2044,-59.20533081,id_futuro_7
2045,-58.64714386,id_futuro_7
2046,-55.60728615,id_futuro_7
2047,-59.32898161,id_futuro_7
2048,-52.55208597,id_futuro_7
2049,-57.99407426,id_futuro_7
2050,11.79827455,id_futuro_7
1990,-63.33224044,id_futuro_8
1991,-59.66992548,id_futuro_8
1992,-60.49756132,id_futuro_8
1993,-60.40270355,id_futuro_8
1994,-60.25809117,id_futuro_8
1995,-61.97127834,id_futuro_8
1996,-58.85718517,id_futuro_8
1997,-61.55841522,id_futuro_8
1998,-45.21235093,id_futuro_8
1999,-57.66985938,id_futuro_8
2000,-65.94570942,id_futuro_8
2001,-66.57002968,id_futuro_8
2002,-56.9177178,id_futuro_8
2003,-69.35342554,id_futuro_8
2004,-64.22017798,id_futuro_8
2005,-63.16781914,id_futuro_8
2006,-65.86464056,id_futuro_8
2007,-54.83547569,id_futuro_8
2008,-54.56990956,id_futuro_8
2009,-57.67206523,id_futuro_8
2010,-64.49615671,id_futuro_8
2011,-59.04463864,id_futuro_8
2012,-58.1032636,id_futuro_8
2013,-64.77339325,id_futuro_8
2014,-56.90301891,id_futuro_8
2015,-46.55264505,id_futuro_8
2016,-60.61134026,id_futuro_8
2017,13.47715115,id_futuro_8
2018,-50.41284301,id_futuro_8
2019,-48.00690099,id_futuro_8
2020,-49.53094698,id_futuro_8
2021,-45.70637309,id_futuro_8
2022,-47.01212457,id_futuro_8
2023,-49.07288067,id_futuro_8
2024,-39.60137961,id_futuro_8
2025,-44.87938832,id_futuro_8
2026,-43.41965397,id_futuro_8
2027,-51.80385449,id_futuro_8
2028,-18.98900957,id_futuro_8
2029,37.3502141,id_futuro_8
2030,-50.27448697,id_futuro_8
2031,-43.38027914,id_futuro_8
2032,-39.63897962,id_futuro_8
2033,-45.01276836,id_futuro_8
2034,-46.42743103,id_futuro_8
2035,-45.44237709,id_futuro_8
2036,-44.19379303,id_futuro_8
2037,-43.62172318,id_futuro_8
2038,-43.28918744,id_futuro_8
2039,24.64270822,id_futuro_8
2040,-12.33321339,id_futuro_8
2041,-48.02928162,id_futuro_8
2042,-42.42380672,id_futuro_8
2043,-40.55476103,id_futuro_8
2044,-30.9382172,id_futuro_8
2045,-41.3422774,id_futuro_8
2046,-27.77983196,id_futuro_8
2047,-33.54743632,id_futuro_8
2048,-10.48573854,id_futuro_8
2049,-44.62742287,id_futuro_8
2050,-37.19488672,id_futuro_8
1990,-63.33224044,id_futuro_9
1991,-59.66992548,id_futuro_9
1992,-60.49756132,id_futuro_9
1993,-60.40270355,id_futuro_9
1994,-60.25809117,id_futuro_9
1995,-61.97127834,id_futuro_9
1996,-58.85718517,id_futuro_9
1997,-61.55841522,id_futuro_9
1998,-45.21235093,id_futuro_9
1999,-57.66985938,id_futuro_9
2000,-65.94570942,id_futuro_9
2001,-66.57002968,id_futuro_9
2002,-56.9177178,id_futuro_9
2003,-69.35342554,id_futuro_9
2004,-64.22017798,id_futuro_9
2005,-63.16781914,id_futuro_9
2006,-65.86464056,id_futuro_9
2007,-54.83547569,id_futuro_9
2008,-54.56990956,id_futuro_9
2009,-57.67206523,id_futuro_9
2010,-64.49615671,id_futuro_9
2011,-59.04463864,id_futuro_9
2012,-58.1032636,id_futuro_9
2013,-64.77339325,id_futuro_9
2014,-56.90301891,id_futuro_9
2015,-46.55264505,id_futuro_9
2016,-60.61134026,id_futuro_9
2017,13.47715115,id_futuro_9
2018,-50.41284301,id_futuro_9
2019,-48.00690099,id_futuro_9
2020,-49.53094698,id_futuro_9
2021,-41.25047797,id_futuro_9
2022,-51.51599351,id_futuro_9
2023,-54.0054139,id_futuro_9
2024,12.92214493,id_futuro_9
2025,-48.73508573,id_futuro_9
2026,-50.87150915,id_futuro_9
2027,-39.57115679,id_futuro_9
2028,-46.42104515,id_futuro_9
2029,-44.93624031,id_futuro_9
2030,-40.80679554,id_futuro_9
