tiempo,i_lena,m_lena,c_lena
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
2002,0.5,0,0
2003,0.5,0,0
2004,0.5,0,0
2005,0.5,0,0
2006,0.5,0,0
2007,0.5,0,0
2008,0.5,0,0
2009,0.5,0,0
2010,0.5,0,0
2011,0.5,0,0
2012,0.5,0,0
2013,0.5,0,0
2014,0.5,0,0
2015,0.5,0,0
2016,0.5,0,0
2017,0.5,0,0
2018,0.5,0,0
2019,0.5,0,0
2020,0.5,0,0
2021,0.5,0,0
2022,0.5,0,0
2023,0.5,0,0
2024,0.5,0.0477855,2.658646
2025,0.5,0.2356525,9.273314
2026,0.5,0.4182765,4.4927935
2027,0.5,0.595658,-0.326984
2028,0.5,0.7677975,-5.178956
2029,0.5,0.934695,-10.056058
2030,0.5,1.0963495,-14.951227
2031,0.5,1.1434295,-25.59657
2032,0.5,1.1866285,-27.5385875
2033,0.5,1.2259455,-29.4165575
2034,0.5,1.2613815,-31.2252485
2035,0.5,1.2929365,-32.959431
2036,0.5,1.32061,-34.613876
2037,0.5,1.344402,-36.183353
2038,0.5,1.364313,-37.662632
2039,0.5,1.380342,-39.0464835
2040,0.5,1.39249,-40.3296775
2041,0.5,1.4007565,-41.5069845
2042,0.5,1.4051425,-42.5731745
2043,0.5,1.405646,-43.523017
2044,0.5,1.402269,-44.3512835
2045,0.5,1.3950105,-45.052743
2046,0.5,1.3838705,-45.622166
2047,0.5,1.368849,-46.054323
2048,0.5,1.3499465,-46.3439835
2049,0.5,1.3271625,-46.485918
2050,0.5,1.3004975,-46.474897
1990,0.6,0,0
1991,0.6,0,0
1992,0.6,0,0
1993,0.6,0,0
1994,0.6,0,0
1995,0.6,0,0
1996,0.6,0,0
1997,0.6,0,0
1998,0.6,0,0
1999,0.6,0,0
2000,0.6,0,0
2001,0.6,0,0
2002,0.6,0,0
2003,0.6,0,0
2004,0.6,0,0
2005,0.6,0,0
2006,0.6,0,0
2007,0.6,0,0
2008,0.6,0,0
2009,0.6,0,0
2010,0.6,0,0
2011,0.6,0,0
2012,0.6,0,0
2013,0.6,0,0
2014,0.6,0,0
2015,0.6,0,0
2016,0.6,0,0
2017,0.6,0,0
2018,0.6,0,0
2019,0.6,0,0
2020,0.6,0,0
2021,0.6,0,0
2022,0.6,0,0
2023,0.6,0,0
2024,0.6,0.06307686,3.1903752
2025,0.6,0.3110613,11.1279768
2026,0.6,0.55212498,5.3913522
2027,0.6,0.78626856,-0.3923808
2028,0.6,1.0134927,-6.2147472
2029,0.6,1.2337974,-12.0672696
2030,0.6,1.44718134,-17.9414724
2031,0.6,1.50932694,-30.715884
2032,0.6,1.56634962,-33.046305
2033,0.6,1.61824806,-35.299869
2034,0.6,1.66502358,-37.4702982
2035,0.6,1.70667618,-39.5513172
2036,0.6,1.7432052,-41.5366512
2037,0.6,1.77461064,-43.4200236
2038,0.6,1.80089316,-45.1951584
2039,0.6,1.82205144,-46.8557802
2040,0.6,1.8380868,-48.395613
2041,0.6,1.84899858,-49.8083814
2042,0.6,1.8547881,-51.0878094
2043,0.6,1.85545272,-52.2276204
2044,0.6,1.85099508,-53.2215402
2045,0.6,1.84141386,-54.0632916
2046,0.6,1.82670906,-54.7465992
2047,0.6,1.80688068,-55.2651876
2048,0.6,1.78192938,-55.6127802
2049,0.6,1.7518545,-55.7831016
2050,0.6,1.7166567,-55.7698764
1990,0.7,0,0
1991,0.7,0,0
1992,0.7,0,0
1993,0.7,0,0
1994,0.7,0,0
