tiempo,i_sustitucion,m_sustitucion,c_sustitucion
1992,0.5,0,0
1993,0.5,0,0
1994,0.5,0,0
1995,0.5,0,0
1996,0.5,0,0
1997,0.5,0,0
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
2002,0.5,0,0
2003,0.5,0,0
2004,0.5,0,0
2005,0.5,0,0
2006,0.5,0,0
2007,0.5,0,0
2008,0.5,0,0
2009,0.5,0,0
2010,0.5,0,0
2011,0.5,0,0
2012,0.5,0,0
2013,0.5,0,0
2014,0.5,0,0
2015,0.5,0,0
2016,0.5,0,0
2017,0.5,0,0
2018,0.5,0,0
2019,0.5,0,0
2020,0.5,0,0
2021,0.5,0,0
2022,0.5,0,0
2023,0.5,0,0
2024,0.5,-0.005208,0.000001
2025,0.5,-0.0062175,0.0000015
2026,0.5,-0.007422,0.0000015
2027,0.5,-0.00886,0.000002
2028,0.5,-0.010577,0.0000025
2029,0.5,-0.0126265,0.000003
2030,0.5,-0.015073,0.0000035
2031,0.5,-0.0179945,0.0000045
2032,0.5,-0.0214815,0.000005
2033,0.5,-0.0256435,0.0000065
2034,0.5,-0.030613,0.0000075
2035,0.5,-0.036545,0.000009
2036,0.5,-0.0436265,0.000011
2037,0.5,-0.05208,0.0000135
2038,0.5,-0.0621725,0.0000165
2039,0.5,-0.07422,0.00002
2040,0.5,-0.088602,0.000024
2041,0.5,-0.105771,0.0000295
2042,0.5,-0.1262665,0.0000355
2043,0.5,-0.150734,0.000043
2044,0.5,-0.1799425,0.000052
2045,0.5,-0.2148115,0.000063
2046,0.5,-0.256437,0.0000765
2047,0.5,-0.3061285,0.0000925
2048,0.5,-0.365449,0.000112
2049,0.5,-0.436264,0.0001355
2050,0.5,-0.520802,0.000164
1990,0.6,0,0
1991,0.6,0,0
1992,0.6,0,0
1993,0.6,0,0
1994,0.6,0,0
1995,0.6,0,0
1996,0.6,0,0
1997,0.6,0,0
1998,0.6,0,0
1999,0.6,0,0
2000,0.6,0,0
2001,0.6,0,0
2002,0.6,0,0
2003,0.6,0,0
2004,0.6,0,0
2005,0.6,0,0
2006,0.6,0,0
2007,0.6,0,0
2008,0.6,0,0
2009,0.6,0,0
2010,0.6,0,0
2011,0.6,0,0
2012,0.6,0,0
2013,0.6,0,0
2014,0.6,0,0
2015,0.6,0,0
2016,0.6,0,0
2017,0.6,0,0
2018,0.6,0,0
2019,0.6,0,0
